service_no.,pax,queue_start,queue_end,table_no.,meal_start,meal_end,Guest_type,date,day_name,is_weekend,price,is_shared_table,is_walkaway,is_queued,wait_min,meal_min,zone
24,2.0,,,14,2026-03-25 07:51:00,2026-03-25 08:21:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,30.0,Outdoor
25,6.0,,,4,2026-03-25 07:56:00,2026-03-25 08:56:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,60.0,Indoor
26,2.0,,,1A,2026-03-25 08:05:00,2026-03-25 09:04:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,59.0,Indoor
27,2.0,,,8B,2026-03-25 08:05:00,2026-03-25 08:52:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,47.0,Outdoor
28,3.0,,,9,2026-03-25 08:06:00,2026-03-25 08:53:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,47.0,Outdoor
29,1.0,,,8A,2026-03-25 08:16:00,2026-03-25 09:29:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,73.0,Outdoor
30,2.0,,,12,2026-03-25 08:23:00,2026-03-25 09:07:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,44.0,Outdoor
31,2.0,,,1B,2026-03-25 08:24:00,2026-03-25 09:49:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,85.0,Indoor
32,1.0,,,2B,2026-03-25 08:33:00,2026-03-25 09:13:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,40.0,Indoor
33,2.0,,,7A,2026-03-25 08:43:00,2026-03-25 09:21:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,38.0,Outdoor
34,2.0,,,14,2026-03-25 08:41:00,2026-03-25 09:31:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,50.0,Outdoor
35,1.0,,,8C,2026-03-25 08:43:00,2026-03-25 09:20:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,37.0,Outdoor
36,2.0,,,11B,2026-03-25 08:50:00,2026-03-25 09:30:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,40.0,Outdoor
37,1.0,,,15,2026-03-25 08:56:00,2026-03-25 09:12:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,16.0,Outdoor
38,1.0,,,16,2026-03-25 09:05:00,2026-03-25 09:37:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,32.0,No Table
39,2.0,,,4,2026-03-25 09:05:00,2026-03-25 11:15:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,130.0,Indoor
40,2.0,,,8B,2026-03-25 09:10:00,2026-03-25 10:22:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,72.0,Outdoor
41,2.0,,,1A,2026-03-25 09:14:00,2026-03-25 10:23:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,69.0,Indoor
42,1.0,,,1B,2026-03-25 09:16:00,2026-03-25 10:46:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,90.0,Indoor
43,3.0,,,11,2026-03-25 09:30:00,2026-03-25 10:06:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,36.0,Outdoor
44,1.0,,,7A,2026-03-25 09:32:00,2026-03-25 09:53:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,21.0,Outdoor
45,3.0,,,10,2026-03-25 09:35:00,2026-03-25 10:23:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,48.0,Outdoor
46,1.0,,,8A,2026-03-25 08:36:00,2026-03-25 12:13:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,217.0,Outdoor
47,2.0,,,2,2026-03-25 09:41:00,2026-03-25 10:06:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,25.0,Indoor
48,2.0,,,16,2026-03-25 09:45:00,2026-03-25 10:18:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,33.0,No Table
49,2.0,,,4,2026-03-25 09:50:00,2026-03-25 11:51:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,121.0,Indoor
50,2.0,,,7A,2026-03-25 09:52:00,2026-03-25 11:00:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,68.0,Outdoor
51,2.0,,,5B,2026-03-25 09:54:00,2026-03-25 10:54:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,60.0,Indoor
52,1.0,,,5A,2026-03-25 08:54:00,2026-03-25 10:58:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,124.0,Indoor
53,1.0,,,12,2026-03-25 10:09:00,2026-03-25 10:25:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,16.0,Outdoor
54,1.0,,,3,2026-03-25 10:10:00,2026-03-25 11:24:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,74.0,Indoor
55,2.0,,,9,2026-03-25 10:11:00,2026-03-25 10:43:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,32.0,Outdoor
56,2.0,,,2,2026-03-25 10:20:00,2026-03-25 12:15:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,115.0,Indoor
57,1.0,,,1A,2026-03-25 10:28:00,2026-03-25 11:08:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,40.0,Indoor
58,3.0,,,7B,2026-03-25 10:35:00,2026-03-25 11:23:00,In-house,2026-03-17,Tuesday,False,159,True,False,False,,48.0,Outdoor
58,3.0,,,7A,2026-03-25 10:35:00,2026-03-25 11:23:00,In-house,2026-03-17,Tuesday,False,159,True,False,False,,48.0,Outdoor
59,2.0,,,10,2026-03-25 10:37:00,2026-03-25 11:09:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,32.0,Outdoor
60,3.0,,,15,2026-03-25 10:39:00,2026-03-25 12:11:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,92.0,Outdoor
61,2.0,,,14,2026-03-25 10:40:00,2026-03-25 11:24:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,44.0,Outdoor
62,2.0,,,16,2026-03-25 10:44:00,2026-03-25 11:40:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,56.0,No Table
63,1.0,,,8C,2026-03-25 10:50:00,2026-03-25 11:30:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,40.0,Outdoor
64,2.0,,,5,2026-03-25 11:04:00,2026-03-25 12:02:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,58.0,Indoor
65,1.0,,,6B,2026-03-25 11:05:00,2026-03-25 11:25:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,20.0,Indoor
66,1.0,,,7A,2026-03-25 11:21:00,2026-03-25 11:39:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,18.0,Outdoor
67,2.0,,,9,2026-03-25 11:24:00,2026-03-25 11:48:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,24.0,Outdoor
68,1.0,,,1,2026-03-25 11:23:00,2026-03-25 12:02:00,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,39.0,Indoor
69,1.0,,,7B,2026-03-25 11:43:00,2026-03-25 12:04:00,In-house,2026-03-17,Tuesday,False,159,False,False,False,,21.0,Outdoor
70,,,,,,,Walk-in,2026-03-17,Tuesday,False,159,False,False,False,,,No Table
1,1.0,,,4A,2026-03-25 06:26:00,2026-03-25 08:42:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,136.0,Indoor
2,2.0,,,11,2026-03-25 06:44:00,2026-03-25 07:44:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,60.0,Outdoor
3,1.0,,,7A,2026-03-25 06:58:00,2026-03-25 08:46:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,108.0,Outdoor
4,2.0,,,16,2026-03-25 07:07:00,2026-03-25 07:53:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,46.0,No Table
5,1.0,,,8A,2026-03-25 02:29:00,2026-03-25 07:50:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,321.0,Outdoor
6,1.0,,,8C,2026-03-25 07:34:00,2026-03-25 07:47:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,13.0,Outdoor
7,1.0,,,6,2026-03-25 07:35:00,2026-03-25 07:45:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,10.0,Indoor
8,1.0,,,10B,2026-03-25 07:44:00,2026-03-25 07:59:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,15.0,Outdoor
9,2.0,,,1,2026-03-25 07:45:00,2026-03-25 08:07:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,22.0,Indoor
10,2.0,,,6,2026-03-25 07:46:00,2026-03-25 09:27:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,101.0,Indoor
11,1.0,,,7B,2026-03-25 07:49:00,2026-03-25 08:13:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,24.0,Outdoor
12,1.0,,,8A,2026-03-25 07:55:00,2026-03-25 09:21:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,86.0,Outdoor
13,1.0,,,4B,2026-03-25 07:58:00,2026-03-25 08:59:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,61.0,Indoor
14,2.0,,,16,2026-03-25 08:03:00,2026-03-25 08:35:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,32.0,No Table
15,2.0,,,10B,2026-03-25 08:05:00,2026-03-25 08:50:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,45.0,Outdoor
16,2.0,,,11A,2026-03-25 08:06:00,2026-03-25 08:36:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,30.0,Outdoor
17,1.0,,,1A,2026-03-25 08:15:00,2026-03-25 09:00:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,45.0,Indoor
18,1.0,,,1B,2026-03-25 08:16:00,2026-03-25 09:54:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,98.0,Indoor
19,1.0,,,7B,2026-03-25 08:18:00,2026-03-25 09:37:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,79.0,Outdoor
20,2.0,,,3,2026-03-25 08:25:00,2026-03-25 09:05:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,40.0,Indoor
21,2.0,,,8B,2026-03-25 08:28:00,2026-03-25 09:06:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,38.0,Outdoor
22,2.0,,,15,2026-03-25 08:29:00,2026-03-25 09:19:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,50.0,Outdoor
23,4.0,,,2,2026-03-25 08:30:00,2026-03-25 09:10:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,40.0,Indoor
24,1.0,,,16,2026-03-25 08:40:00,2026-03-25 09:29:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,49.0,No Table
25,2.0,,,11B,2026-03-25 08:42:00,2026-03-25 09:35:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,53.0,Outdoor
26,3.0,,,5,2026-03-25 08:43:00,2026-03-25 08:58:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,15.0,Indoor
27,1.0,,,7B,2026-03-25 08:44:00,2026-03-25 09:13:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,29.0,Outdoor
28,5.0,,,12,2026-03-25 08:47:00,2026-03-25 10:26:00,Walk-in,2026-03-18,Wednesday,False,159,True,False,False,,99.0,Outdoor
28,5.0,,,13,2026-03-25 08:47:00,2026-03-25 10:26:00,Walk-in,2026-03-18,Wednesday,False,159,True,False,False,,99.0,Outdoor
29,1.0,,,4A,2026-03-25 08:49:00,2026-03-25 09:25:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,36.0,Indoor
30,1.0,,,7A,2026-03-25 08:49:00,2026-03-25 10:55:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,126.0,Outdoor
31,1.0,,,14,2026-03-25 08:43:00,2026-03-25 09:35:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,52.0,Outdoor
32,2.0,,,5B,2026-03-25 09:00:00,2026-03-25 10:00:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,60.0,Indoor
33,1.0,,,8B,2026-03-25 09:08:00,2026-03-25 10:03:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,55.0,Outdoor
34,2.0,,,1A,2026-03-25 09:11:00,2026-03-25 10:11:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,60.0,Indoor
35,4.0,,,9,2026-03-25 09:12:00,2026-03-25 10:08:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,56.0,Outdoor
36,2.0,,,3,2026-03-25 09:13:00,2026-03-25 10:05:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,52.0,Indoor
37,2.0,,,4B,2026-03-25 09:20:00,2026-03-25 09:54:00,Walk-in,2026-03-18,Wednesday,False,159,True,False,False,,34.0,Indoor
37,2.0,,,5A,2026-03-25 09:20:00,2026-03-25 09:54:00,Walk-in,2026-03-18,Wednesday,False,159,True,False,False,,34.0,Indoor
38,2.0,,,15,2026-03-25 09:22:00,2026-03-25 10:15:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,53.0,Outdoor
39,1.0,,,4A,2026-03-25 09:37:00,2026-03-25 10:46:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,69.0,Indoor
40,1.0,,,6B,2026-03-25 09:47:00,2026-03-25 12:10:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,143.0,Indoor
41,1.0,,,6A,2026-03-25 09:48:00,2026-03-25 10:45:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,57.0,Indoor
42,4.0,,,2,2026-03-25 09:49:00,2026-03-25 11:41:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,112.0,Indoor
43,2.0,,,16,2026-03-25 09:56:00,2026-03-25 10:45:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,49.0,No Table
44,2.0,,,7B,2026-03-25 09:58:00,2026-03-25 10:17:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,19.0,Outdoor
45,2.0,,,14,2026-03-25 09:59:00,2026-03-25 10:28:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,29.0,Outdoor
46,2.0,,,1B,2026-03-25 10:03:00,2026-03-25 10:49:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,46.0,Indoor
47,3.0,,,4B,2026-03-25 10:05:00,2026-03-25 11:02:00,In-house,2026-03-18,Wednesday,False,159,True,False,False,,57.0,Indoor
47,3.0,,,5A,2026-03-25 10:05:00,2026-03-25 11:02:00,In-house,2026-03-18,Wednesday,False,159,True,False,False,,57.0,Indoor
48,2.0,,,11A,2026-03-25 10:10:00,2026-03-25 10:52:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,42.0,Outdoor
49,2.0,,,8A,2026-03-25 10:16:00,2026-03-25 11:02:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,46.0,Outdoor
50,1.0,,,1A,2026-03-25 10:19:00,2026-03-25 11:30:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,71.0,Indoor
51,4.0,,,9,2026-03-25 10:28:00,2026-03-25 12:15:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,107.0,Outdoor
52,1.0,,,14,2026-03-25 10:30:00,2026-03-25 11:28:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,58.0,Outdoor
53,1.0,,,8C,2026-03-25 10:30:00,2026-03-25 11:13:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,43.0,Outdoor
54,2.0,,,7B,2026-03-25 10:36:00,2026-03-25 11:50:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,74.0,Outdoor
55,1.0,,,10B,2026-03-25 10:38:00,2026-03-25 11:58:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,80.0,Outdoor
56,2.0,,,15,2026-03-25 10:34:00,2026-03-25 11:24:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,50.0,Outdoor
57,2.0,,,3,2026-03-25 10:35:00,2026-03-25 11:12:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,37.0,Indoor
58,1.0,,,1B,2026-03-25 10:39:00,2026-03-25 13:30:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,171.0,Indoor
59,3.0,,,12,2026-03-25 10:41:00,2026-03-25 11:40:00,Walk-in,2026-03-18,Wednesday,False,159,True,False,False,,59.0,Outdoor
59,3.0,,,13,2026-03-25 10:41:00,2026-03-25 11:40:00,Walk-in,2026-03-18,Wednesday,False,159,True,False,False,,59.0,Outdoor
60,2.0,,,16,2026-03-25 10:54:00,2026-03-25 11:58:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,64.0,No Table
61,1.0,,,4A,2026-03-25 10:56:00,2026-03-25 11:39:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,43.0,Indoor
62,1.0,,,5B,2026-03-25 11:28:00,2026-03-25 11:53:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,25.0,Indoor
63,2.0,,,7A,2026-03-25 11:00:00,2026-03-25 11:59:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,59.0,Outdoor
64,1.0,,,8A,2026-03-25 11:08:00,2026-03-25 11:44:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,36.0,Outdoor
65,3.0,,,11A,2026-03-25 11:10:00,2026-03-25 12:14:00,In-house,2026-03-18,Wednesday,False,159,True,False,False,,64.0,Outdoor
65,3.0,,,11B,2026-03-25 11:10:00,2026-03-25 12:14:00,In-house,2026-03-18,Wednesday,False,159,True,False,False,,64.0,Outdoor
66,2.0,,,15,2026-03-25 11:28:00,2026-03-25 11:51:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,23.0,Outdoor
67,1.0,,,7C,2026-03-25 11:29:00,2026-03-25 12:14:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,45.0,Outdoor
68,1.0,,,4,2026-03-25 11:39:00,2026-03-25 13:30:00,Walk-in,2026-03-18,Wednesday,False,159,False,False,False,,111.0,Indoor
69,1.0,,,8B,2026-03-25 11:40:00,2026-03-25 11:54:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,14.0,Outdoor
70,1.0,,,5A,2026-03-25 11:43:00,2026-03-25 12:20:00,In-house,2026-03-18,Wednesday,False,159,False,False,False,,37.0,Indoor
